reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-03-26-2021-04-01;49;3211;61.2;2722;84.8;83;2.6;213;6.6;193;6
84;2021-03-26-2021-04-01;59;2869;61.4;2487;86.7;67;2.3;157;5.5;158;5.5
84;2021-03-26-2021-04-01;69;1786;62.8;1526;85.4;43;2.4;102;5.7;115;6.4
84;2021-03-26-2021-04-01;79;1149;62.5;936;81.5;25;2.2;101;8.8;87;7.6
84;2021-03-26-2021-04-01;89;605;62.9;464;76.7;9;1.5;69;11.4;63;10.4
84;2021-03-26-2021-04-01;90;206;61.3;153;74.3;0;0;33;16;20;9.7
84;2021-03-27-2021-04-02;09;1238;64.2;991;80;32;2.6;119;9.6;96;7.8
84;2021-03-27-2021-04-02;19;3567;59.5;3041;85.3;87;2.4;245;6.9;194;5.4
84;2021-03-27-2021-04-02;29;3155;58.1;2628;83.3;97;3.1;276;8.7;154;4.9
84;2021-03-27-2021-04-02;39;3066;59.9;2631;85.8;89;2.9;207;6.8;139;4.5
84;2021-03-27-2021-04-02;49;3240;60.8;2772;85.6;88;2.7;208;6.4;172;5.3
84;2021-03-27-2021-04-02;59;2879;60.9;2495;86.7;66;2.3;175;6.1;143;5
84;2021-03-27-2021-04-02;69;1809;63.1;1561;86.3;40;2.2;104;5.7;104;5.7
84;2021-03-27-2021-04-02;79;1138;61.7;926;81.4;26;2.3;97;8.5;89;7.8
84;2021-03-27-2021-04-02;89;619;63;480;77.5;14;2.3;65;10.5;60;9.7
84;2021-03-27-2021-04-02;90;204;62.4;154;75.5;0;0;31;15.2;19;9.3
84;2021-03-28-2021-04-03;09;1215;65.1;979;80.6;29;2.4;116;9.5;91;7.5
84;2021-03-28-2021-04-03;19;3581;59.9;3045;85;88;2.5;255;7.1;193;5.4
84;2021-03-28-2021-04-03;29;3183;57.8;2655;83.4;103;3.2;283;8.9;142;4.5
84;2021-03-28-2021-04-03;39;3081;59.4;2646;85.9;83;2.7;209;6.8;143;4.6
84;2021-03-28-2021-04-03;49;3227;60.5;2784;86.3;81;2.5;207;6.4;155;4.8
84;2021-03-28-2021-04-03;59;2895;61;2518;87;59;2;186;6.4;132;4.6
84;2021-03-28-2021-04-03;69;1810;62.4;1561;86.2;40;2.2;110;6.1;99;5.5
84;2021-03-28-2021-04-03;79;1140;61.8;934;81.9;28;2.5;94;8.2;84;7.4
84;2021-03-28-2021-04-03;89;632;63.7;486;76.9;17;2.7;63;10;66;10.4
84;2021-03-28-2021-04-03;90;207;64.7;156;75.4;2;1;30;14.5;19;9.2
84;2021-03-29-2021-04-04;09;1211;65.2;974;80.4;28;2.3;119;9.8;90;7.4
84;2021-03-29-2021-04-04;19;3575;59.9;3041;85.1;88;2.5;253;7.1;193;5.4
84;2021-03-29-2021-04-04;29;3190;57.9;2658;83.3;103;3.2;289;9.1;140;4.4
84;2021-03-29-2021-04-04;39;3082;59.1;2650;86;83;2.7;206;6.7;143;4.6
84;2021-03-29-2021-04-04;49;3220;60.1;2776;86.2;82;2.5;207;6.4;155;4.8
84;2021-03-29-2021-04-04;59;2905;61.3;2528;87;58;2;188;6.5;131;4.5
84;2021-03-29-2021-04-04;69;1805;62.1;1556;86.2;39;2.2;111;6.1;99;5.5
84;2021-03-29-2021-04-04;79;1133;61.7;931;82.2;30;2.6;88;7.8;84;7.4
84;2021-03-29-2021-04-04;89;629;63.4;492;78.2;15;2.4;59;9.4;63;10
84;2021-03-29-2021-04-04;90;207;64.9;157;75.8;2;1;29;14;19;9.2
84;2021-03-30-2021-04-05;09;973;65;777;79.9;23;2.4;98;10.1;75;7.7
84;2021-03-30-2021-04-05;19;2878;58.9;2444;84.9;67;2.3;208;7.2;159;5.5
84;2021-03-30-2021-04-05;29;2610;57.5;2177;83.4;77;3;248;9.5;108;4.1
84;2021-03-30-2021-04-05;39;2534;58.3;2179;86;65;2.6;183;7.2;107;4.2
84;2021-03-30-2021-04-05;49;2577;59.2;2203;85.5;67;2.6;176;6.8;131;5.1
84;2021-03-30-2021-04-05;59;2310;59.7;1999;86.5;50;2.2;167;7.2;94;4.1
84;2021-03-30-2021-04-05;69;1451;61;1256;86.6;32;2.2;90;6.2;73;5
84;2021-03-30-2021-04-05;79;910;60;752;82.6;28;3.1;71;7.8;59;6.5
84;2021-03-30-2021-04-05;89;544;62.5;437;80.3;15;2.8;46;8.5;46;8.5
84;2021-03-30-2021-04-05;90;180;64.7;138;76.7;2;1.1;26;14.4;14;7.8
84;2021-03-31-2021-04-06;09;897;62.9;717;79.9;20;2.2;99;11;61;6.8
84;2021-03-31-2021-04-06;19;2824;56.4;2402;85.1;50;1.8;220;7.8;152;5.4
84;2021-03-31-2021-04-06;29;2636;54.2;2198;83.4;70;2.7;257;9.7;111;4.2
84;2021-03-31-2021-04-06;39;2630;55.6;2258;85.9;59;2.2;204;7.8;109;4.1
84;2021-03-31-2021-04-06;49;2731;57;2355;86.2;64;2.3;187;6.8;125;4.6
84;2021-03-31-2021-04-06;59;2497;58.6;2153;86.2;61;2.4;181;7.2;102;4.1
84;2021-03-31-2021-04-06;69;1478;58.4;1266;85.7;38;2.6;100;6.8;74;5
84;2021-03-31-2021-04-06;79;965;57.7;805;83.4;27;2.8;75;7.8;58;6
84;2021-03-31-2021-04-06;89;559;60.4;437;78.2;16;2.9;57;10.2;49;8.8
84;2021-03-31-2021-04-06;90;195;61.3;151;77.4;3;1.5;23;11.8;18;9.2
84;2021-04-01-2021-04-07;09;813;60.9;630;77.5;20;2.5;108;13.3;55;6.8
84;2021-04-01-2021-04-07;19;2809;57.3;2388;85;43;1.5;226;8;152;5.4
84;2021-04-01-2021-04-07;29;2685;54.1;2263;84.3;60;2.2;254;9.5;108;4
84;2021-04-01-2021-04-07;39;2701;56;2324;86;53;2;219;8.1;105;3.9
84;2021-04-01-2021-04-07;49;2784;56.6;2412;86.6;66;2.4;189;6.8;117;4.2
84;2021-04-01-2021-04-07;59;2556;58.9;2212;86.5;60;2.3;186;7.3;98;3.8
84;2021-04-01-2021-04-07;69;1536;58.4;1318;85.8;39;2.5;108;7;71;4.6
84;2021-04-01-2021-04-07;79;979;57.9;822;84;24;2.5;74;7.6;59;6
84;2021-04-01-2021-04-07;89;583;61.4;455;78;18;3.1;60;10.3;50;8.6
84;2021-04-01-2021-04-07;90;213;62.6;167;78.4;5;2.3;22;10.3;19;8.9
84;2021-04-02-2021-04-08;09;741;59.9;581;78.4;14;1.9;105;14.2;41;5.5
84;2021-04-02-2021-04-08;19;2708;56.7;2292;84.6;46;1.7;223;8.2;147;5.4
84;2021-04-02-2021-04-08;29;2682;53.9;2266;84.5;53;2;257;9.6;106;4
84;2021-04-02-2021-04-08;39;2637;55.6;2280;86.5;54;2;213;8.1;90;3.4
84;2021-04-02-2021-04-08;49;2770;55.9;2395;86.5;64;2.3;197;7.1;114;4.1
84;2021-04-02-2021-04-08;59;2546;59.2;2200;86.4;63;2.5;185;7.3;98;3.8
84;2021-04-02-2021-04-08;69;1508;57.9;1283;85.1;40;2.7;118;7.8;67;4.4
84;2021-04-02-2021-04-08;79;970;58;815;84;21;2.2;74;7.6;60;6.2
84;2021-04-02-2021-04-08;89;577;61;454;78.7;18;3.1;60;10.4;45;7.8
84;2021-04-02-2021-04-08;90;201;61.1;158;78.6;7;3.5;20;10;16;8
84;2021-04-03-2021-04-09;09;704;59.4;566;80.4;12;1.7;92;13.1;34;4.8
84;2021-04-03-2021-04-09;19;2555;55.6;2177;85.2;48;1.9;201;7.9;129;5
84;2021-04-03-2021-04-09;29;2568;52.5;2192;85.4;44;1.7;230;9;102;4
84;2021-04-03-2021-04-09;39;2591;54.7;2276;87.8;49;1.9;185;7.1;81;3.1
84;2021-04-03-2021-04-09;49;2700;54.7;2347;86.9;56;2.1;186;6.9;111;4.1
84;2021-04-03-2021-04-09;59;2522;59.8;2197;87.1;63;2.5;171;6.8;91;3.6
84;2021-04-03-2021-04-09;69;1458;56.4;1241;85.1;39;2.7;113;7.8;65;4.5
84;2021-04-03-2021-04-09;79;953;57.3;812;85.2;22;2.3;68;7.1;51;5.4
84;2021-04-03-2021-04-09;89;567;60.1;447;78.8;16;2.8;59;10.4;45;7.9
84;2021-04-03-2021-04-09;90;215;62.1;175;81.4;8;3.7;20;9.3;12;5.6
84;2021-04-04-2021-04-10;09;709;59.5;573;80.8;13;1.8;92;13;31;4.4
84;2021-04-04-2021-04-10;19;2537;55.6;2181;86;41;1.6;194;7.6;121;4.8
84;2021-04-04-2021-04-10;29;2589;53.3;2216;85.6;43;1.7;224;8.7;106;4.1
84;2021-04-04-2021-04-10;39;2602;55.1;2270;87.2;57;2.2;190;7.3;85;3.3
84;2021-04-04-2021-04-10;49;2690;54.7;2338;86.9;65;2.4;176;6.5;111;4.1
84;2021-04-04-2021-04-10;59;2527;60;2212;87.5;62;2.5;163;6.5;90;3.6
84;2021-04-04-2021-04-10;69;1473;57;1259;85.5;34;2.3;117;7.9;63;4.3
84;2021-04-04-2021-04-10;79;960;57.9;821;85.5;21;2.2;70;7.3;48;5
84;2021-04-04-2021-04-10;89;571;60.2;456;79.9;14;2.5;62;10.9;39;6.8
84;2021-04-04-2021-04-10;90;216;60.8;175;81;6;2.8;23;10.6;12;5.6
84;2021-04-05-2021-04-11;09;704;59.4;571;81.1;14;2;88;12.5;31;4.4
84;2021-04-05-2021-04-11;19;2536;55.7;2181;86;41;1.6;194;7.6;120;4.7
84;2021-04-05-2021-04-11;29;2575;53;2205;85.6;44;1.7;220;8.5;106;4.1
84;2021-04-05-2021-04-11;39;2595;55.2;2257;87;58;2.2;194;7.5;86;3.3
84;2021-04-05-2021-04-11;49;2696;54.9;2343;86.9;67;2.5;175;6.5;111;4.1
84;2021-04-05-2021-04-11;59;2524;60;2210;87.6;62;2.5;162;6.4;90;3.6
84;2021-04-05-2021-04-11;69;1480;57.3;1270;85.8;34;2.3;115;7.8;61;4.1
84;2021-04-05-2021-04-11;79;956;58;818;85.6;19;2;70;7.3;49;5.1
84;2021-04-05-2021-04-11;89;580;60.5;460;79.3;14;2.4;64;11;42;7.2
84;2021-04-05-2021-04-11;90;215;59.6;173;80.5;6;2.8;23;10.7;13;6
84;2021-04-06-2021-04-12;09;869;61.1;710;81.7;18;2.1;104;12;37;4.3
84;2021-04-06-2021-04-12;19;3037;57.2;2636;86.8;48;1.6;221;7.3;132;4.3
84;2021-04-06-2021-04-12;29;3083;53.6;2648;85.9;61;2;253;8.2;121;3.9
84;2021-04-06-2021-04-12;39;3131;56;2744;87.6;71;2.3;217;6.9;99;3.2
84;2021-04-06-2021-04-12;49;3304;56.6;2893;87.6;81;2.5;202;6.1;128;3.9
84;2021-04-06-2021-04-12;59;3080;60.8;2707;87.9;69;2.2;196;6.4;108;3.5
84;2021-04-06-2021-04-12;69;1859;59.6;1613;86.8;42;2.3;130;7;74;4
84;2021-04-06-2021-04-12;79;1127;59.3;976;86.6;20;1.8;79;7;52;4.6
84;2021-04-06-2021-04-12;89;661;61.4;530;80.2;17;2.6;70;10.6;44;6.7
84;2021-04-06-2021-04-12;90;234;60;194;82.9;6;2.6;22;9.4;12;5.1
84;2021-04-07-2021-04-13;09;867;64.7;720;83;18;2.1;92;10.6;37;4.3
84;2021-04-07-2021-04-13;19;2898;60.1;2533;87.4;53;1.8;203;7;109;3.8
84;2021-04-07-2021-04-13;29;3012;56.5;2609;86.6;58;1.9;233;7.7;112;3.7
84;2021-04-07-2021-04-13;39;3013;58.9;2640;87.6;78;2.6;206;6.8;89;3
84;2021-04-07-2021-04-13;49;3133;59;2753;87.9;69;2.2;199;6.4;112;3.6
84;2021-04-07-2021-04-13;59;2884;62.5;2559;88.7;52;1.8;188;6.5;85;2.9
84;2021-04-07-2021-04-13;69;1816;62.6;1591;87.6;39;2.1;122;6.7;64;3.5
